Date,Time of Day,Placed,Mental State,Eliminations,Assists,Revives,Accuracy,Hits,Head Shots,Distance Traveled,Materials Gathered,Materials Used,Damage Taken,Damage to Players,Damage to Structures
4/14,2:00 PM,4,sober,5,3,1,16%,38,4,3220.00,2215,410,158,1081,8810
4/14,2:00 PM,29,sober,1,2,0,44%,27,13,518.08,79,1,164,592,358
4/14,2:00 PM,48,sober,0,1,0,21%,3,1,17.86,30,0,182,132,264
4/14,2:00 PM,24,sober,2,2,0,21%,49,20,614.77,88,30,209,680,1588
4/14,2:00 PM,26,sober,2,0,0,38%,10,0,418.13,43,30,132,507,999
4/14,3:00 PM,24,sober,2,0,0,43%,27,12,448.19,165,10,319,560,348
4/14,3:00 PM,24,sober,2,1,0,34%,28,5,500.60,164,55,339,442,3687
4/14,4:00 PM,12,high,3,0,0,25%,25,9,1950.00,204,50,352,481,2511
4/14,4:00 PM,6,high,2,3,1,17%,21,0,2130.00,429,180,298,497,5012
4/14,4:00 PM,25,high,2,0,0,24%,8,1,308.27,50,0,154,430,175
4/14,4:00 PM,17,high,1,2,0,16%,9,0,475.88,32,30,19,157,1319
4/14,4:00 PM,23,high,1,1,1,39%,19,0,193.54,56,0,247,311,589
4/14,7:00 PM,15,high,1,3,0,7%,11,2,1450.00,231,150,299,189,2410
4/14,7:00 PM,16,high,1,0,0,11%,4,0,685.75,254,30,298,80,3727
4/15,1:00 PM,17,sober,2,0,0,27%,32,1,1650.00,317,160,270,502,2029
4/15,1:00 PM,13,sober,6,2,0,13%,38,7,1890.00,1560,140,367,1005,9540
4/15,2:00 PM,5,sober,6,3,0,11%,29,3,3350.00,421,230,366,764,11077
4/15,2:00 PM,41,sober,0,1,0,25%,8,3,161.73,75,10,109,250,565
4/15,5:00 PM,25,high,2,2,1,28%,20,5,494.14,49,0,134,467,736
4/15,5:00 PM,20,high,0,3,0,16%,7,2,498.11,78,0,172,315,2081
4/15,5:00 PM,15,high,2,2,1,10%,13,4,792.00,118,110,313,471,3383
4/15,6:00 PM,1,high,4,5,0,16%,35,3,4460.00,941,350,182,997,5787
4/15,6:00 PM,22,high,3,3,1,34%,78,5,361.31,0,0,329,362,990
4/15,10:00 PM,15,sober,3,0,1,36%,83,13,336.46,175,10,223,1014,2434
4/15,11:00 PM,34,sober,2,2,1,53%,61,3,314.10,60,0,106,658,415
4/15,11:00 PM,15,sober,1,1,1,45%,30,0,1170.00,99,80,151,286,553
4/15,11:00 PM,4,sober,5,2,2,42%,52,0,3550.00,850,450,436,724,1377
16-Apr,10:00 PM,24,high,1,1,2,64%,7,2,249.22,108,0,196,468,1590
16-Apr,11:00 PM,17,high,3,2,2,33%,65,20,752.64,62,60,202,1222,2200
17-Apr,12:00 AM,2,high,8,2,0,31%,97,8,3770,1750,400,576,1492,4593
17-Apr,12:00 AM,24,high,4,0,0,20%,12,4,222.54,94,0,96,478,2262
17-Apr,1:00 PM,30,sober,1,2,0,28%,40,4,267,78,30,148,375,1196
17-Apr,2:00 PM,18,sober,3,2,1,26%,25,3,954.43,370,60,354,475,1168
17-Apr,2:00 PM,39,sober,1,0,0,31%,12,1,226.67,75,0,120,338,1105
